depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_5,lineage_6,lineage_4,DOXORUBICIN (GDSC1:133),PEVONEDISTAT (GDSC1:1529)
ACH-001137,NCIH1993,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.9347938016063564,0.9963773063233194
ACH-000298,NCIH2029,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.9135913956898724,0.9083951303688358
ACH-000451,NCIH2085,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,,0.9539696957255764
ACH-000290,NCIH209,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.5121320751415213,0.7714985592209322
ACH-000610,NCIH2227,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.9465833279484576,0.8217996342002881
ACH-000337,NCIH3122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.4822363139352165,0.8351754416141425
ACH-002172,NCIH322M,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.99280736829904,0.9819481146202862
ACH-000109,NCIH3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.6608084527213601,0.9436329959739312
ACH-000871,NCIH510,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.7596349946119996,
ACH-000767,NCIH526,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.5225255910126656,0.8572258219349168
ACH-000491,NCIH716,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.9944612557366808,
ACH-002174,NCIH720,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,,,,0.9911093060103452,0.8512893015376453
ACH-002288,NEC8,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,,,,0.4855953193216942,
ACH-002289,NK92MI,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),,,,0.8183760581414005,
ACH-002290,NKM1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.4658174630097579,0.7837723880830474
ACH-000200,NMCG1,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.6157597518782983,0.9276132696060602
ACH-000116,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,0.7476129453068596,0.9981242667329038
ACH-000962,OC314,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Clear Cell,,,0.4294639393563161,
ACH-002179,OCUBM,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,,,,0.2979333812300688,0.740346353680421
ACH-000247,OCUM1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Diffuse Gastric,,,0.6054769309204476,0.9776648135702624
ACH-002180,OMC1,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,,,,0.6926283471246522,0.8155103504147022
ACH-000024,OPM2,Lymphoid,Non-Hodgkin Lymphoma,Plasma Cell Myeloma,,,,0.8734663302735759,0.9922310554214624
ACH-002181,OVCA420,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Serous,,,,0.9425211782253752
ACH-000617,OVCAR4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,0.6960030099869118,0.9555465290757912
ACH-001151,OVCAR5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,0.6772961554594032,0.8652354016966826
ACH-002183,OVMIU,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,High Grade Serous,,,0.6932730450239971,0.8273517527720059
ACH-000770,P31FUJ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M5,,,0.9927242232972984,0.8902346107692164
ACH-002293,P32ISH,Lymphoid,Non-Hodgkin Lymphoma,Burkitt Lymphoma,B-cell Burkitt,,,0.6322772734446701,0.8564813689237292
ACH-002184,PC3JPC3,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.851479839046876,0.9534969948315868
ACH-002294,PCI15A,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,,,,0.7158402897400337,0.8325545800657337
ACH-002295,PCI30,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,0.8734606992780376,
ACH-002296,PCI38,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,0.8759653903094412,0.7603140829573041
ACH-002297,PCI4B,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Laryngeal,,,0.4076096260020063,
ACH-002298,PCI6A,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,0.3844460017229201,
ACH-002185,PL18,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.5632995345327565,0.8612787771388947
ACH-002186,PL4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.7725931221465211,
ACH-002299,QIMRWIL,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.3929498628592564,0.9185473686077708
ACH-000654,RAJI,Lymphoid,Non-Hodgkin Lymphoma,Burkitt Lymphoma,B-cell Burkitt,,,0.7983863972561243,0.8932223375004171
ACH-000960,REH,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.1993341470391386,0.9720974405458808
ACH-000442,RERFLCSQ1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NSCLC Squamous,,,0.9469715766210874,0.8589476034453809
ACH-002301,RF48,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,B-cell,,,0.5046178325054514,0.9167812588219384
ACH-000689,RH18,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,,,,,0.9869862680058418
ACH-001639,ROS50,Lymphoid,Non-Hodgkin Lymphoma,"Diffuse Large B-Cell Lymphoma, NOS",B-cell,,,0.952413716541763,0.9837227240264586
ACH-001182,RPMI6666,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,,,,0.608826308371865,0.8759181780084042
ACH-000817,RPMI8226,Lymphoid,Non-Hodgkin Lymphoma,Plasma Cell Myeloma,Plasmacytoma,,,0.7341597715851689,
ACH-002302,RPMI8866,Myeloid,Myeloproliferative Neoplasms,Chronic Myelogenous Leukemia,,,,0.7537632496181923,0.6924865974758979
ACH-000874,RS411,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.3653998513388038,0.8788526882416953
ACH-002195,RXF393,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.6916538171619065,0.9095629599185376
ACH-002196,SBC1,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.6382934532680884,0.7395299869104242
ACH-002197,SBC3,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.345800658593154,
ACH-000254,SCC15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,0.735346828420072,0.8322881351114086
ACH-000238,SCC4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.7223865226874786,0.9736307365703604
ACH-000655,SF268,CNS/Brain,Diffuse Glioma,Astrocytoma,,,,0.6405206656375979,
ACH-000273,SF539,CNS/Brain,Diffuse Glioma,Gliosarcoma,,,,0.6696475591014097,0.7170634662795298
ACH-000112,SIGM5,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,M5,,,0.4294830123301352,
ACH-001189,SJRH30,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,,,,0.6902075550206519,0.8161934125131692
ACH-000465,SKMEL1,Skin,Melanoma,Melanoma,,,,0.9860227346126298,
ACH-002304,SKMG1,CNS/Brain,Diffuse Glioma,Astrocytoma,Astrocytoma,,,0.515957514168215,
ACH-002305,SKN3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,,,0.9762418530718908,0.7682327810207394
ACH-001193,SKPNDW,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,0.4407899567972833,0.9480518543190476
ACH-002199,SN12C,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.81669930002625,0.946254331663
ACH-000504,SNB75,CNS/Brain,Diffuse Glioma,Glioblastoma,,,,0.6654013926631103,0.9411464699787278
ACH-000999,SNU1040,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,MSI,,,0.9265110693079666
ACH-000422,SNU475,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,,,,0.9304797634035588,
ACH-000303,SNU5,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,0.8717771282860143,0.981228986220462
ACH-000722,SNUC1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.9468662703497476,
ACH-001199,SNUC2B,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.8200189583994785,
ACH-000970,SNUC5,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,,0.8685886863229016
ACH-002306,STS0421,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,0.5042999861383434,
ACH-002307,SUDHL16,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,B-cell,,,0.64259647125816,0.7261240118641209
ACH-000660,SUDHL5,Lymphoid,Non-Hodgkin Lymphoma,"Diffuse Large B-Cell Lymphoma, NOS",DLBCL,,,0.1618041939414927,0.7589111743568084
ACH-002308,SUPB8,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,,0.9373562878946669
ACH-001203,SUPHD1,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,,,0.6739444097358018,0.8593538644977903
ACH-000226,SUPM2,Lymphoid,Non-Hodgkin Lymphoma,Anaplastic Large-Cell Lymphoma ALK Positive,T-cell ALCL,,,0.6873579986248639,0.7368466337665004
ACH-000236,SW1417,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.7744427329673402,0.977775361253088
ACH-002309,SW684,Soft Tissue,Fibrosarcoma,Fibrosarcoma,,,,0.992790390865975,0.9817756502008468
ACH-002310,SW872,Soft Tissue,Liposarcoma,Liposarcoma,,,,0.6626290450107866,0.9378841204591932
ACH-002200,SW962,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,,,,0.5634733202490768,0.8850870035729953
ACH-001274,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,,,,0.3166562180541561,0.8185639710942847
ACH-002201,TCYIK,Cervix,Small Cell Carcinoma of the Cervix,Small Cell Carcinoma of the Cervix,,,,,0.947241122265726
ACH-002311,TE12,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,,,0.6081994150050456,0.8704456885583324
ACH-002312,TGBC24TKB,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",,,,0.8700005437716136,0.9913055848517756
ACH-002313,TK,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,B-cell,,,0.8026581598748292,
ACH-001208,TK10,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,,,,0.6644935792359081,
ACH-002202,TMK1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,0.6792744079074392,
ACH-002314,TUR,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,M5,,,0.6149415187568841,0.7365658370071746
ACH-001680,U698M,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoblastic Lymphoma,,,0.6675884091378524,
ACH-000428,UO31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,,,0.7900310018498905,0.7098226316099996
ACH-001227,UPCISCC090,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.7761076406789841,
ACH-001233,VMRCLCD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,,0.8934432845415231
ACH-002316,WIL2NS,Myeloid,Hereditary Spherocytosis,Spherocytosis,,,,0.4089426942195548,
ACH-000304,WM115,Skin,Melanoma,Melanoma,,,,,0.9596595012195176
ACH-002205,WM1552C,Skin,Melanoma,Cutaneous Melanoma,,,,0.6828636948693891,
ACH-002206,WM278,Skin,Melanoma,Melanoma,,,,0.6466663571051787,0.9173324325561892
ACH-002207,WM35,Skin,Melanoma,Melanoma,,,,0.6478943461738549,
ACH-001709,WSUNHL,Lymphoid,Non-Hodgkin Lymphoma,"Diffuse Large B-Cell Lymphoma, NOS",B-cell,,,0.7171609289864513,0.7576181561161982
ACH-002317,YT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL),,,,0.9003449698657163,0.9141493309308448
ACH-002262,KY821,Myeloid,Acute Myeloid Leukemia,Acute Myelomonocytic Leukemia,M4,,,0.9513741968571064,0.9352914324542788
ACH-001653,SKGT2,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,,0.8275224474179409
ACH-001306,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,,,,0.6262695286037031,
ACH-000456,BCPAP,Thyroid,Poorly Differentiated Thyroid Cancer,Poorly Differentiated Thyroid Cancer,Papillary,,,0.5418448014267642,0.8918266922501864
ACH-000191,BHT101,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Papillary,,,0.8078729557880053,
ACH-000995,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,,0.7404890924547496
ACH-000918,MOLT16,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,,0.7733066352146876
ACH-000636,RPMI8402,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.4681574189713389,0.8528999046432841
ACH-000372,P12ICHIKAWA,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.5295936264859213,0.9123737110100324
ACH-001023,CGTHW1,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Follicular,,,0.5973288468264425,
ACH-000802,BFTC905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder Transitional Cell,,,0.335972093359164,0.7819405263154645
ACH-000937,PF382,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,0.5787336249393593,0.997257742181494
ACH-000486,KU1919,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder Transitional Cell,,,0.9485145149350231,
ACH-000545,VMCUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder Transitional Cell,,,0.6278193895562345,
ACH-000955,SNU407,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,MSI,,,0.8909583713538392
ACH-000794,BICR22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.8480212512538723,0.7483154631767861
ACH-000228,BICR31,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.562374097991719,
ACH-001332,BICR78,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.7591895112145766,0.7837079667863917
ACH-000896,647V,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,,,,0.4179964919689705,0.594056196285438
ACH-000473,RT112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder Transitional Cell,,,0.4360222601290275,0.97721502124414
ACH-000566,SW1710,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder Transitional Cell,,,0.3528699634628086,0.8965242792742041
ACH-000795,MOLT13,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,T-cell,,,,0.7813031706408544
ACH-000518,CAL33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.5677701929392875,
ACH-000174,CAL62,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Anaplastic,,,0.5383315443983623,
ACH-000101,KE37,Lymphoid,Non-Hodgkin Lymphoma,Adult T-Cell Leukemia/Lymphoma,T-cell,,,0.4013253406710266,0.8867030137864711
ACH-000142,CAL29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder Transitional Cell,,,0.6645203863108062,0.7357299999112874
ACH-000197,TALL1,Lymphoid,Non-Hodgkin Lymphoma,Adult T-Cell Leukemia/Lymphoma,T-cell,,,0.967641831296722,
ACH-000981,DND41,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,,,,0.5626838148050088,0.9636524281278642
ACH-001350,HTCC3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Giant Cell,,,0.8045968061514407,0.9390684933489916
ACH-000920,CMLT1,Myeloid,Myeloproliferative Neoplasms,Chronic Myelogenous Leukemia,Blast Crisis,,,,0.8108685873398795
ACH-000991,SNU81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,,0.9549283958435236
ACH-000986,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.9921209115392025,
ACH-000926,HT55,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.9211569892800489,
ACH-000704,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,,,0.6941386672761676,0.8622799201455431
ACH-000803,COLO668,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.6047947550346967,0.9264929958056956
ACH-001384,RO82W1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,Follicular,,,0.8741453964995117,0.9841062889947144
ACH-000508,CORL88,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.9335921900299112,0.9648308922872368
ACH-000161,CORL105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.6940554459312034,0.935250894601372
ACH-000662,CORL23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NSCLC Large Cell,,,0.4800455762478524,0.912559259973466
ACH-000968,COLO792,Skin,Melanoma,Melanoma,,,,0.8736659555557812,0.9040663003568554
ACH-000657,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Endometrioid,,,0.3841553343450092,0.8659916670404372
ACH-000847,HGC27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,0.2610931588908721,0.6988322961185894
ACH-000320,PSN1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.3055926290397247,0.9502845377060276
ACH-000903,FTC133,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,Anaplastic,,,0.7777350442267144,0.9312778217445336
ACH-000749,DMS273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.568648592777877,
ACH-001345,GP5D,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.5773907808299619,
ACH-000257,CORL279,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,,,,0.5399204971340211,
ACH-001373,OV17R,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,,,,,0.985294637435698
ACH-000867,CHAGOK1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,0.6559464322412575,0.9273781251096368
ACH-000619,PECAPJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Oral,,,0.7452638426789151,0.7888728556916736
ACH-000935,MDST8,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.7870659614289218,
ACH-000213,HUPT4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.5686763609065871,
ACH-000004,HEL,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M6,,,0.7303897119961335,0.7395508466687859
ACH-000006,MONOMAC6,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,M5,,,0.7193015356649214,0.6753179383045653
ACH-000614,RVH421,Skin,Melanoma,Melanoma,,,,0.7043456379626428,
ACH-000938,NALM6,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,B-cell,,,0.3545690226051375,0.8852294869650432
ACH-000295,EM2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Blast Crisis,,,0.8165534620716691,0.6085567544687306
ACH-000810,SKMEL30,Skin,Melanoma,Cutaneous Melanoma,,,,0.5399681760420519,0.9181250168490236
ACH-000078,MHHNB11,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,MYCN Amp,,0.618338065647033,
ACH-000023,PATU8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.5699224139104014,0.8639745198598806
ACH-000099,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,,,0.8406406134894966,0.9635355187313972
ACH-000391,MHHES1,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_FLI,,0.4515313987505816,0.6763452338756814
ACH-000301,LAMA84,Myeloid,Myeloproliferative Neoplasms,Chronic Myelogenous Leukemia,Blast Crisis,,,0.8361131814470072,0.9489323247779364
ACH-000599,PATU8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,,0.8861594337733265
ACH-000346,JVM3,Lymphoid,Non-Hodgkin Lymphoma,B-Cell Prolymphocytic Leukemia,B-cell,,,0.9833360648647814,0.7502734388087371
ACH-000717,COLO680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,,,0.5358667514661986,0.9792414759790684
ACH-000936,EFO27,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,Endometrioid,,,0.6593647700037802,
ACH-000350,COLO678,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,,,0.8183545349760872,0.9731499305298532
ACH-000432,BV173,Myeloid,Myeloproliferative Neoplasms,Chronic Myelogenous Leukemia,Blast Crisis,,,0.7283561774038946,0.7613101048058665
ACH-000948,2313287,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,,,0.4195063196484016,0.9409629030493276
ACH-000294,NB4,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M3,,,0.5590901145424244,0.6467114641676608
ACH-000308,EFO21,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Clear Cell,,,0.8186586150645959,0.9839949831482584
ACH-000882,IGR1,Skin,Melanoma,Melanoma,,,,0.5291237362314244,
ACH-000650,IGR37,Skin,Melanoma,Melanoma,,,,0.6158408930272463,0.8856536460285355
ACH-000098,GAMG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,0.5862769640170342,0.8779955192515707
ACH-000113,OCIAML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,M4,,,0.5198857308706006,0.7071425003564827
ACH-000065,OCIAML5,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.6399621696375299,0.8477168418747124
ACH-000243,DANG,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.9846046980095016,
ACH-000915,IPC298,Skin,Melanoma,Cutaneous Melanoma,,,,0.5677948547899854,0.948404063369592
ACH-000603,BEN,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,,,0.8957347534841559,
ACH-000210,CADOES1,Bone,Ewing Sarcoma,Ewing Sarcoma,,EWS_ERG,,,0.8713519818534388
ACH-000812,COLO783,Skin,Melanoma,Melanoma,,,,0.9392937751062388,0.953615696675731
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ERpos HER2pos,HER2 Amp,,0.5126479187676539,0.9624451738888782
ACH-000118,HUPT3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Exocrine Adenocarcinoma,,,0.6814185230510743,
ACH-000805,COLO679,Skin,Melanoma,Cutaneous Melanoma,,,,0.4391453246409066,0.7149076072544815
ACH-000787,LXF289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NSCLC Adenocarcinoma,,,0.5798030854012322,
ACH-000244,DKMG,CNS/Brain,Diffuse Glioma,Glioblastoma,Glioblastoma,,,,0.9856732159329624
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ERneg HER2neg,Basal B,,0.3999562080533724,0.7534977153772366
ACH-000315,KARPAS422,Lymphoid,Non-Hodgkin Lymphoma,"Diffuse Large B-Cell Lymphoma, NOS",DLBCL,,,0.7458932307628227,
ACH-000330,EFM19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ERpos HER2neg,Luminal,,0.7804307776866102,0.994083503534102
ACH-001650,SISO,Cervix,Cervical Adenocarcinoma,Cervical Adenocarcinoma,,,,0.5785554853883269,0.6695686581744817
ACH-000233,DEL,Lymphoid,Non-Hodgkin Lymphoma,Anaplastic Large-Cell Lymphoma ALK Positive,T-cell ALCL,,,0.4913156224467945,0.7488604012296199
ACH-000073,GRANTA519,Lymphoid,Non-Hodgkin Lymphoma,Mantle Cell Lymphoma,B-cell Mantle Cell,,,0.6950412897739469,
ACH-000190,HDMYZ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,,,0.790051931842539,0.7111587233043445
ACH-000823,KYSE140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,,,,0.5663273098921623,
ACH-000259,KELLY,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,MYCN Amp,,0.8536550364506075,0.7362666396048082
