Clean,PIM046,PIM053,PIM056,PIM068,PIM077,PIM091,PIM137,PIM172,PIM163,PIM164,PIM190,PIM231,PIM242,PIM269,PIM254,PIM311,PIM262,PIM284,PIM300,PIM328,PIM387,PIM402,PIM407,PIM388,PIM393,PIM404,PIM010,PIM014,PIM024,PIM051,PIM025,PIM038,PIM040
CID2858522_Broad,0.07,-0.03,0.05,-0.07,-0.15,-0.03,-0.01,-0.03,0.04,0.01,0.02,0.08,-0.06,-0.09,-0.06,-0.05,0.10,0.11,0.02,0.02,0.16,0.22,0.01,0.07,0.02,0.01,0.07,-0.01,-0.13,-0.10,-0.01,0.01,0.03
HC067047_Broad,0.10,0.04,0.11,0.03,0.00,-0.04,0.03,-0.01,0.06,0.06,0.03,0.05,-0.07,-0.12,-0.03,-0.04,0.45,0.44,0.08,0.03,0.00,0.01,0.02,0.08,0.01,0.00,0.06,0.13,0.01,0.05,0.06,0.08,0.04
NSC95397_Broad,0.23,0.26,0.23,0.26,0.08,0.05,0.26,0.28,0.42,0.42,0.25,0.28,0.18,0.27,0.27,0.31,0.26,0.34,0.25,0.37,0.21,0.49,0.32,0.55,0.34,0.49,0.30,0.27,0.27,0.12,0.22,0.23,0.33
UNC0638_Broad,0.05,0.00,0.14,0.00,0.06,-0.02,0.08,0.00,0.11,0.03,0.08,0.20,0.08,-0.08,0.03,-0.01,0.23,0.18,0.09,0.28,0.04,0.02,-0.02,-0.02,0.05,0.02,0.08,0.06,-0.06,0.26,0.00,0.01,0.11
NSC23766HYDROCHLORIDE_Broad,-0.01,0.01,0.00,-0.08,-0.27,-0.02,0.03,-0.14,0.10,0.01,0.04,0.05,-0.01,-0.05,-0.05,-0.02,-0.02,0.08,0.02,-0.05,-0.02,-0.01,-0.02,0.08,0.09,0.10,-0.01,-0.02,0.00,-0.13,0.01,-0.01,0.08
AGK2_Broad,0.05,0.00,0.04,-0.02,-0.17,-0.01,0.03,0.01,0.02,0.00,0.02,0.09,-0.08,-0.11,0.00,-0.01,0.06,-0.09,0.00,-0.01,0.02,0.04,0.01,-0.01,0.01,-0.02,0.07,0.02,-0.05,-0.02,0.02,0.02,0.05
GSK4112_Broad,-0.04,-0.03,0.03,-0.01,-0.14,-0.02,0.04,0.02,0.02,0.02,-0.03,0.06,-0.05,-0.09,-0.01,0.01,0.09,0.13,-0.01,-0.01,-0.04,0.02,0.02,0.01,-0.03,0.00,0.06,0.02,-0.06,-0.10,0.01,0.01,-0.01
ERLOTINIB_Broad,0.24,0.23,0.35,0.01,-0.15,0.11,0.31,0.44,0.04,0.05,0.14,0.29,0.18,0.15,0.21,0.35,0.42,0.45,0.24,0.36,0.21,0.06,0.08,0.26,0.36,0.45,0.21,0.16,-0.13,0.05,0.10,0.08,0.40
SUNITINIB_Broad,0.00,0.00,-0.02,-0.04,0.17,-0.02,0.10,0.16,0.03,0.08,0.00,0.25,0.05,-0.12,0.08,0.01,0.02,0.12,-0.01,0.09,0.18,0.07,0.05,-0.06,-0.06,-0.01,0.08,0.02,-0.09,0.18,-0.02,-0.01,-0.04
DASATINIB_Broad,0.07,-0.09,0.25,-0.03,-0.26,-0.09,-0.13,0.15,0.26,0.09,0.01,0.11,0.05,0.08,0.08,0.14,-0.28,-0.06,0.16,0.22,0.21,0.09,0.12,-0.04,-0.22,0.02,0.13,-0.02,-0.09,0.08,0.04,0.09,0.15
PHA793887_Broad,0.22,0.06,0.40,0.17,-0.01,0.08,0.28,0.22,0.26,0.09,0.07,0.13,0.24,0.18,0.07,0.19,-0.06,-0.19,0.00,0.36,0.25,0.21,0.22,0.17,0.19,0.23,0.14,0.15,-0.06,0.27,0.26,0.33,0.15
PIK93_Broad,0.19,0.20,0.18,0.38,-0.15,0.10,0.27,0.23,0.16,0.14,0.24,0.36,0.10,0.09,0.21,0.29,0.35,0.28,0.16,0.21,0.25,0.10,0.10,0.32,0.25,0.27,0.16,0.26,0.05,0.13,0.16,0.12,0.21
GEFITINIB_Broad,0.21,0.10,0.23,0.04,-0.14,0.04,0.14,0.17,0.11,0.03,0.00,0.09,-0.02,-0.01,0.06,0.14,0.47,0.48,0.07,0.19,0.05,0.00,0.05,0.14,-0.05,0.26,0.08,0.09,-0.11,0.10,0.04,0.03,0.30
XL765_Broad,-0.03,-0.03,-0.01,-0.10,-0.24,-0.03,0.04,-0.03,0.03,0.02,0.02,0.02,-0.06,-0.10,-0.02,0.04,-0.02,-0.01,0.01,0.00,0.03,0.00,0.02,0.06,0.05,0.04,0.05,0.07,-0.12,-0.13,0.00,-0.01,0.03
LAPATINIB_Broad,0.24,0.15,0.29,0.27,0.11,0.04,0.35,0.38,0.16,0.11,0.16,0.34,0.26,0.13,0.22,0.29,0.12,0.00,0.26,0.37,0.15,0.06,0.08,0.30,0.33,0.41,0.13,0.22,0.10,0.26,0.08,0.13,0.32
QUIZARTINIB_Broad,0.13,-0.03,0.03,-0.07,-0.25,-0.07,0.08,-0.02,0.00,0.04,0.05,0.04,-0.11,-0.13,-0.04,0.14,0.41,0.30,0.10,0.04,0.02,0.01,0.01,0.07,0.00,0.03,0.00,0.04,0.05,0.03,0.03,0.12,0.02
NILOTINIB_Broad,-0.02,-0.04,0.06,-0.16,-0.25,-0.07,0.05,0.00,-0.01,0.01,-0.08,0.00,-0.14,-0.15,-0.11,-0.09,0.05,0.24,-0.04,-0.04,-0.07,0.06,0.01,-0.07,-0.10,-0.02,0.05,-0.03,-0.14,-0.12,-0.03,-0.03,-0.01
AZD7762_Broad,0.13,0.06,0.66,-0.23,0.18,0.00,0.41,0.35,0.47,0.24,0.25,0.55,0.08,-0.07,0.37,0.35,-0.15,-0.10,0.48,0.52,0.79,0.63,0.55,0.59,0.40,0.65,0.36,0.57,0.74,0.74,0.33,0.35,0.11
PAZOPANIB_Broad,0.10,0.07,0.00,0.01,-0.22,-0.01,0.14,0.13,0.02,0.13,0.00,0.19,-0.06,-0.08,0.05,0.28,0.19,0.06,0.09,0.13,0.09,0.03,0.08,0.10,0.10,0.10,0.13,0.15,-0.03,0.17,0.06,0.05,0.05
SIROLIMUS_Broad,0.32,0.44,0.30,0.11,-0.13,0.23,0.48,0.32,0.23,0.41,0.15,0.30,0.25,0.24,0.15,0.38,0.46,0.37,0.43,0.47,0.18,0.06,0.08,0.30,0.39,0.21,0.31,0.09,0.02,0.11,0.38,0.21,0.22
AZD8055_Broad,0.52,0.65,0.53,0.40,0.29,0.39,0.69,0.62,0.47,0.59,0.39,0.53,0.37,0.34,0.44,0.53,0.74,0.64,0.69,0.65,0.52,0.48,0.43,0.59,0.77,0.65,0.48,0.46,0.28,0.49,0.55,0.40,0.67
AT7867_Broad,-0.09,0.03,-0.28,-0.58,-0.30,-0.06,-0.38,-0.36,-0.14,-0.15,0.06,-0.08,-0.06,-0.01,-0.18,-0.14,0.21,0.26,0.05,0.29,-0.16,-0.10,-0.01,0.23,0.20,0.29,-0.27,-0.60,-0.53,-0.22,0.02,-0.11,-0.13
PD318088_Broad,0.01,0.15,0.43,0.18,-0.01,0.05,0.11,0.18,0.35,0.22,0.15,0.22,0.18,-0.03,0.01,0.01,0.41,0.03,0.09,0.04,0.10,0.04,0.05,0.02,0.10,0.00,0.09,0.12,0.05,0.17,0.03,0.07,0.21
TANDUTINIB_Broad,0.03,0.00,0.07,-0.09,-0.20,-0.02,0.05,-0.04,-0.01,-0.02,-0.03,0.14,-0.07,-0.09,-0.01,-0.01,0.04,0.00,0.03,-0.03,-0.03,-0.02,0.00,0.00,-0.05,-0.01,0.05,0.01,0.01,0.05,-0.01,-0.06,-0.01
KU60019_Broad,0.04,-0.06,0.02,-0.04,-0.24,-0.03,0.02,-0.03,0.01,-0.02,0.06,0.06,-0.05,-0.11,-0.07,-0.03,0.13,0.10,0.11,0.01,-0.06,-0.03,-0.04,0.02,0.03,0.04,0.01,-0.01,-0.11,0.06,0.01,0.02,0.02
EX527_Broad,-0.06,-0.05,0.03,-0.09,-0.26,-0.05,0.00,-0.05,0.01,0.00,0.05,0.04,-0.09,-0.12,-0.04,-0.08,-0.09,-0.11,0.02,0.00,-0.04,-0.05,0.01,-0.01,0.00,0.03,0.01,0.01,-0.16,-0.19,-0.03,0.02,0.03
TEMSIROLIMUS_Broad,0.33,0.48,0.27,0.07,-0.03,0.22,0.49,0.30,0.26,0.35,0.18,0.32,0.24,0.22,0.16,0.34,0.43,0.29,0.44,0.44,0.15,0.08,0.06,0.27,0.39,0.32,0.32,0.04,0.09,0.12,0.40,0.23,0.36
SCH530348_Broad,-0.03,-0.08,0.06,-0.05,-0.24,-0.03,0.05,-0.04,-0.05,0.01,-0.02,0.05,-0.09,-0.12,-0.05,-0.03,0.02,0.02,-0.08,-0.01,-0.05,-0.02,-0.05,0.00,-0.09,-0.04,0.01,0.01,-0.07,-0.04,0.00,0.00,0.09
CID5951923_Broad,-0.04,-0.07,0.04,-0.06,-0.24,-0.05,0.09,-0.03,0.06,0.03,0.05,0.03,-0.07,-0.10,-0.01,-0.01,-0.01,-0.04,0.05,0.05,0.04,0.02,-0.01,-0.03,0.03,0.02,0.03,0.04,-0.11,-0.11,0.03,0.02,0.07
JW55_Broad,-0.02,-0.06,0.08,0.04,-0.18,-0.06,0.08,-0.01,0.00,0.05,-0.05,0.03,-0.02,-0.01,0.03,0.05,-0.03,-0.02,-0.03,0.04,0.05,-0.03,-0.02,0.06,-0.01,-0.03,0.00,0.08,-0.09,-0.08,-0.03,-0.03,0.08
PLURIPOTIN_Broad,0.13,0.18,0.50,0.11,0.36,-0.12,0.26,0.34,0.07,0.46,0.15,0.17,0.07,-0.02,0.16,0.25,-0.05,-0.01,0.54,0.57,0.62,0.45,0.40,0.24,-0.02,0.13,0.34,0.16,-0.02,0.16,0.14,0.22,0.18
BMS270394_Broad,0.00,0.02,-0.03,-0.03,-0.28,-0.06,0.09,-0.02,0.07,0.01,-0.05,0.06,-0.09,-0.09,-0.06,-0.04,-0.03,-0.07,-0.03,0.04,0.00,-0.04,-0.04,0.07,-0.03,0.02,0.01,-0.01,-0.07,0.01,-0.02,-0.02,0.13
ERASTIN_Broad,-0.01,-0.09,0.04,-0.07,-0.23,-0.05,0.05,-0.02,0.01,0.05,0.09,0.03,-0.09,-0.14,-0.08,-0.05,-0.05,-0.06,0.01,0.01,0.00,0.11,0.00,0.06,0.07,-0.01,0.01,0.03,-0.20,-0.17,0.01,0.13,0.01
L685458_Broad,0.04,-0.02,0.10,0.03,-0.22,-0.01,0.14,0.03,0.07,0.05,0.19,0.14,0.02,0.02,0.05,0.01,0.18,0.35,0.13,0.07,0.08,0.11,0.04,0.15,0.20,0.14,0.09,0.07,-0.05,0.02,0.07,0.05,0.08
SR1001_Broad,-0.03,-0.03,0.06,-0.07,-0.25,-0.04,0.07,0.01,0.00,0.04,0.00,0.03,-0.11,-0.11,-0.03,0.00,-0.03,-0.01,0.03,0.01,0.05,0.00,-0.02,0.06,-0.02,-0.03,0.04,0.05,-0.15,-0.06,0.02,0.04,0.01
SPAUTIN1_Broad,0.03,0.01,0.15,-0.01,-0.10,0.01,0.11,0.10,0.11,0.08,-0.06,0.05,-0.13,-0.21,-0.02,0.07,-0.11,-0.25,0.03,0.00,0.08,0.06,0.00,0.13,0.11,0.10,-0.02,0.21,-0.07,0.10,0.07,0.06,0.13
FLUVASTATINSODIUM_Broad,0.13,-0.02,0.00,0.22,0.11,-0.05,0.41,0.21,0.16,0.22,0.11,0.22,0.08,-0.05,0.15,0.20,0.44,0.23,0.27,0.30,0.11,-0.05,-0.10,0.16,0.12,0.09,0.06,0.28,0.17,0.40,0.05,0.14,0.05
VALDECOXIB_Broad,-0.07,-0.08,0.05,-0.06,-0.32,-0.09,0.00,-0.03,0.01,0.02,0.01,0.04,-0.10,-0.14,-0.06,-0.07,-0.11,-0.09,0.00,-0.01,-0.01,-0.05,-0.07,-0.03,0.01,0.01,0.01,0.03,-0.17,-0.10,-0.05,-0.05,-0.02
JNJ26854165_Broad,0.22,-0.01,0.10,0.17,0.02,0.02,0.29,0.27,0.12,0.09,0.01,0.28,-0.01,-0.09,0.06,0.39,0.45,0.26,0.03,0.14,0.10,-0.02,-0.04,0.14,0.10,0.02,0.12,0.22,0.23,0.49,0.02,0.01,0.11
ML210_Broad,0.14,-0.08,0.04,-0.01,0.26,-0.03,0.11,-0.05,-0.02,0.04,0.00,0.05,-0.11,-0.15,-0.06,-0.05,0.16,0.15,-0.05,-0.02,-0.04,0.42,0.14,0.14,-0.07,0.06,0.03,0.08,-0.03,-0.04,0.17,0.32,0.08
HYPERFORIN_Broad,0.06,0.06,0.08,-0.02,-0.04,-0.04,0.04,-0.01,0.04,0.03,0.10,0.04,-0.06,-0.48,-0.46,-0.07,0.27,0.31,0.08,0.02,-0.05,0.06,-0.08,0.09,0.06,0.04,0.04,0.01,-0.04,-0.07,0.01,0.08,0.05
CD437_Broad,0.13,0.15,0.13,0.01,0.06,-0.06,0.05,-0.06,0.15,0.28,-0.01,0.06,-0.08,-0.08,0.02,0.02,0.29,0.32,0.38,0.13,0.18,0.54,-0.07,0.12,-0.07,-0.05,0.05,0.20,0.11,0.14,0.14,0.26,0.09
PRL3INHIBITORI_Broad,-0.04,-0.02,0.05,-0.02,-0.14,-0.03,-0.02,-0.01,0.04,0.03,0.09,0.07,-0.05,-0.10,-0.02,-0.06,0.03,0.04,0.00,-0.05,-0.01,0.01,-0.05,-0.01,0.05,0.07,-0.02,-0.01,-0.09,-0.08,-0.02,-0.02,0.04
ML029_Broad,0.11,-0.01,0.02,0.01,-0.12,-0.05,0.01,-0.05,0.00,-0.03,0.05,0.07,-0.07,-0.10,-0.06,-0.03,0.03,0.11,-0.05,-0.04,-0.02,0.13,-0.03,-0.02,-0.05,-0.01,0.00,0.04,-0.07,-0.05,0.00,0.00,0.04
APICIDIN_Broad,0.21,0.13,0.12,0.24,0.35,0.03,0.37,0.19,0.07,0.21,0.09,0.14,0.30,0.25,0.21,0.32,0.24,0.11,0.21,0.20,0.22,0.53,0.19,0.34,0.20,0.11,0.23,-0.06,-0.25,0.00,0.13,0.23,0.41
SB431542_Broad,-0.09,-0.06,0.05,0.00,-0.27,-0.10,0.04,-0.01,-0.05,0.00,-0.02,0.07,-0.12,-0.15,-0.07,-0.05,0.07,0.12,-0.05,-0.05,-0.07,0.00,-0.04,0.05,-0.05,-0.10,-0.01,-0.01,-0.12,-0.06,-0.03,-0.01,0.07
OBATOCLAX_Broad,0.62,0.58,0.71,0.70,0.69,0.12,0.68,0.29,0.68,0.68,0.34,0.54,0.22,0.40,0.52,0.63,0.85,0.78,0.57,0.78,0.61,0.69,0.51,0.78,0.74,0.64,0.26,0.76,0.71,0.70,0.59,0.73,0.59
VANDETANIB_Broad,0.20,0.13,0.15,0.06,0.08,0.02,0.12,0.17,0.05,0.07,0.06,0.11,-0.09,-0.06,0.04,0.13,0.01,0.10,0.09,0.15,0.12,0.05,0.01,0.24,0.00,0.02,0.06,0.17,-0.13,-0.09,0.06,0.04,0.19
VX680_Broad,0.05,0.02,0.38,0.06,-0.20,-0.10,0.09,0.07,0.02,0.13,0.05,0.16,0.15,0.03,0.03,0.09,0.06,0.00,0.09,0.17,0.24,0.15,0.10,0.13,-0.01,0.06,0.11,0.15,-0.24,-0.20,0.11,0.07,0.15
RO4929097_Broad,-0.04,-0.01,0.06,-0.08,-0.20,-0.03,0.23,0.07,0.04,0.03,0.14,0.24,0.24,0.15,0.05,0.13,0.17,0.29,0.10,0.16,0.06,0.07,0.01,0.34,0.19,0.14,0.12,0.21,0.01,0.07,0.03,-0.01,0.17
SEMAGACESTAT_Broad,-0.04,-0.04,0.08,-0.04,-0.26,-0.06,0.17,0.01,0.04,0.02,0.11,0.22,0.19,0.16,0.05,0.05,0.08,0.17,0.05,0.12,0.02,0.01,-0.01,0.33,0.14,0.11,0.12,0.15,0.03,0.03,-0.01,-0.01,0.17
CYTARABINE_Broad,0.30,-0.08,0.53,0.39,0.40,-0.01,0.15,0.03,0.14,0.37,0.14,0.21,0.24,0.26,0.08,0.28,-0.20,-0.15,-0.03,0.21,0.16,0.18,0.10,0.08,-0.04,0.11,0.12,0.12,0.28,0.51,-0.02,0.02,0.04
NUTLIN3_Broad,-0.02,-0.05,0.03,0.09,-0.19,-0.01,0.02,-0.03,-0.02,0.04,-0.01,0.06,0.04,0.01,-0.06,-0.02,-0.05,-0.04,-0.07,-0.01,-0.01,-0.04,-0.06,-0.04,-0.04,-0.03,0.02,0.01,-0.24,-0.15,0.01,0.05,0.02
GEMCITABINE_Broad,0.15,0.00,0.57,0.33,-0.01,0.08,0.17,0.12,0.15,0.63,0.25,0.41,0.43,0.41,0.30,0.51,-0.08,-0.19,0.11,0.32,0.26,0.28,0.18,0.34,0.18,0.20,0.25,0.33,0.66,0.46,0.11,0.12,0.01
AZACITIDINE_Broad,0.33,0.17,0.54,0.30,0.31,0.02,0.44,0.47,0.24,0.17,0.18,0.29,0.42,0.17,0.26,0.54,0.18,0.04,0.33,0.57,0.35,0.31,0.19,0.54,0.63,0.46,0.19,0.63,0.75,0.58,0.34,0.48,0.20
GDC0941_Broad,0.32,0.26,0.34,0.01,0.07,0.05,0.26,0.13,0.00,0.16,0.13,0.05,0.18,-0.07,-0.03,0.20,0.67,0.66,0.16,0.24,0.27,0.34,0.10,0.43,0.00,0.36,0.09,0.16,-0.15,-0.10,0.30,0.28,0.31
ERISMODEGIB_Broad,-0.06,-0.09,-0.02,-0.10,-0.21,-0.08,0.00,-0.05,-0.04,0.01,0.04,0.02,-0.11,-0.17,-0.11,-0.09,-0.05,0.00,0.00,-0.03,0.00,-0.01,-0.07,-0.02,0.04,0.00,0.02,-0.06,-0.26,-0.19,-0.06,-0.06,0.02
KW2449_Broad,-0.07,-0.11,-0.04,-0.22,-0.19,-0.09,0.04,0.01,0.00,0.03,0.08,0.13,-0.10,-0.17,0.02,-0.06,-0.23,-0.03,-0.09,0.03,0.00,0.12,0.03,0.04,-0.03,0.01,-0.06,0.01,-0.25,-0.26,-0.06,-0.11,-0.13
PD153035_Broad,0.23,0.10,0.27,0.09,-0.18,0.02,0.18,0.17,0.15,0.02,0.05,0.13,0.03,-0.05,0.05,0.13,0.41,0.47,0.02,0.24,0.04,0.24,-0.04,0.18,0.19,0.32,0.07,0.13,-0.23,0.01,0.05,0.07,0.30
RAF265_Broad,0.11,0.22,0.03,-0.08,-0.04,0.06,0.13,0.05,0.03,0.27,0.14,0.12,-0.08,-0.06,0.04,0.00,0.32,0.26,0.14,0.12,0.22,0.33,0.21,0.17,0.23,0.24,0.13,0.17,-0.15,-0.13,0.10,0.17,0.01
ZSTK474_Broad,0.15,0.03,0.29,0.04,-0.06,-0.03,0.16,0.08,0.08,0.08,0.06,0.11,0.05,-0.03,0.04,0.09,0.31,0.48,0.02,0.09,0.10,0.23,-0.02,0.49,0.05,0.19,0.09,0.10,-0.09,-0.03,0.20,0.16,0.23
BIRB796_Broad,-0.03,-0.06,0.19,0.11,-0.14,-0.12,0.15,0.04,0.01,0.05,0.05,0.11,-0.19,-0.20,-0.06,-0.15,-0.05,-0.07,0.11,0.12,0.15,0.05,-0.02,-0.05,-0.20,-0.08,0.01,0.11,-0.14,-0.04,-0.02,-0.04,-0.05
OLAPARIB_Broad,0.01,-0.04,0.07,-0.02,-0.21,-0.04,0.08,0.01,-0.06,0.19,-0.01,0.05,-0.04,-0.08,0.02,0.02,-0.08,-0.06,-0.04,0.04,-0.01,0.02,-0.02,0.10,-0.05,-0.05,0.01,0.02,-0.18,-0.29,0.04,0.04,0.04
MASITINIB_Broad,0.12,0.24,0.11,0.05,-0.07,-0.01,0.19,0.16,0.06,0.06,0.02,0.17,-0.08,-0.14,0.03,0.15,0.16,0.02,0.05,0.13,-0.01,-0.08,-0.08,0.09,0.08,0.03,0.02,0.14,-0.04,0.21,0.00,0.05,0.19
AZD1480_Broad,0.00,0.08,0.23,0.01,0.20,-0.04,0.08,0.03,0.09,0.33,0.12,0.20,0.07,-0.01,0.05,-0.04,-0.13,0.03,0.01,0.12,0.35,0.23,0.17,0.16,0.07,0.04,0.24,-0.01,-0.02,-0.12,0.01,0.00,0.04
GSK525762A_Broad,-0.02,0.04,0.39,0.24,-0.57,0.08,0.16,-0.05,0.26,0.16,0.06,0.20,-0.01,0.09,-0.07,0.04,-0.82,-1.30,-0.03,0.24,-0.11,-0.18,-0.06,0.05,0.04,0.19,-0.07,-0.02,-1.03,-0.70,0.03,0.09,0.12
ISOLIQUIRITIGENIN_Broad,-0.03,-0.05,0.05,-0.01,-0.18,-0.07,0.07,-0.04,-0.03,0.01,-0.06,0.04,-0.17,-0.15,-0.11,-0.02,-0.01,0.00,0.00,0.00,-0.02,-0.10,-0.03,-0.01,-0.05,-0.04,0.04,-0.02,-0.16,-0.20,0.00,0.04,0.02
CERANIB2_Broad,0.04,-0.01,0.27,0.20,-0.21,-0.07,0.13,0.06,0.13,0.09,0.03,0.17,-0.01,-0.07,0.00,0.07,0.13,0.12,0.17,0.15,0.08,0.03,0.02,0.12,0.02,-0.01,0.11,0.17,0.09,0.12,0.08,0.11,0.10
ETOMOXIRSODIUMSALT_Broad,-0.09,-0.09,0.09,-0.08,-0.09,-0.05,0.01,-0.01,-0.03,-0.01,0.04,0.02,-0.13,-0.17,-0.07,-0.03,-0.02,-0.12,0.05,0.02,0.07,-0.05,-0.03,0.04,0.02,-0.06,0.04,-0.01,-0.13,-0.17,0.03,0.07,0.02
BIX01294HYDROCHLORIDEHYDRATE_Broad,0.11,-0.03,0.32,0.28,0.33,0.13,0.30,0.25,0.29,0.11,0.12,0.44,0.31,0.17,0.27,0.23,0.44,0.43,0.33,0.33,0.17,0.04,-0.02,0.26,0.35,0.27,0.22,0.24,0.16,0.35,0.13,0.15,0.17
PIFITHRIN_Broad,-0.05,-0.06,0.05,-0.02,-0.18,-0.03,0.06,-0.09,0.05,-0.01,0.00,0.00,-0.02,-0.07,-0.09,0.02,0.17,0.17,0.10,0.00,0.01,-0.01,-0.03,0.16,0.13,0.13,0.00,-0.01,-0.10,-0.11,0.02,0.07,0.06
YM155_Broad,0.94,0.98,0.98,0.96,0.95,0.96,0.90,0.96,0.93,0.67,0.93,0.85,0.91,0.78,0.97,0.98,0.92,0.91,0.90,0.74,0.97,0.95,0.95,0.98,0.98,0.98,0.92,0.98,0.98,0.98,0.89,0.92,0.97
ABT737_Broad,0.15,-0.03,0.03,-0.01,0.04,-0.03,0.02,0.00,-0.04,0.01,-0.04,0.06,-0.10,-0.16,-0.08,-0.06,0.18,0.14,0.23,0.05,0.06,0.01,0.01,0.11,-0.10,0.10,0.01,0.14,-0.13,-0.15,0.11,0.31,0.09
PRIMA1MET_Broad,0.00,0.08,0.16,0.30,0.12,0.06,0.26,0.16,0.27,0.18,0.35,0.35,0.18,0.08,0.05,0.01,0.11,0.17,0.13,0.17,0.04,0.02,0.00,0.35,0.29,0.34,0.29,0.23,0.14,0.15,0.24,0.25,0.20
NECROSTATIN7_Broad,-0.02,-0.02,0.04,-0.03,-0.24,-0.06,0.11,0.04,0.03,0.06,-0.03,0.04,-0.08,-0.09,-0.01,0.01,0.07,-0.05,0.10,0.06,0.07,0.01,0.01,0.09,0.01,0.06,0.02,0.05,-0.12,-0.12,0.06,0.07,0.05
PRL3INHIBITOR_Broad,-0.09,-0.10,0.01,-0.15,-0.04,-0.04,0.02,-0.06,-0.06,-0.04,-0.03,0.03,-0.09,-0.15,-0.12,-0.07,0.02,-0.01,0.04,-0.05,0.00,-0.06,-0.04,0.04,0.02,0.01,-0.01,-0.01,-0.13,-0.17,0.03,0.01,0.01
BEXAROTENE_Broad,0.04,0.04,-0.05,0.06,-0.03,0.00,-0.04,-0.01,-0.03,-0.04,-0.03,0.07,-0.10,-0.04,-0.08,-0.05,0.18,0.17,0.07,0.00,0.02,-0.04,0.00,0.09,-0.02,0.07,0.05,0.01,-0.10,0.00,0.01,0.01,0.09
CERULENIN_Broad,-0.02,0.02,0.06,0.09,0.00,-0.01,0.06,0.02,0.07,0.09,0.08,0.10,-0.06,-0.09,-0.04,0.03,0.07,0.04,0.11,0.12,0.00,-0.02,0.00,0.13,0.17,0.13,0.01,0.06,0.01,-0.12,0.10,0.14,0.09
BREFELDINA_Broad,0.60,0.67,0.92,0.78,0.79,0.40,0.60,0.86,0.79,0.78,0.46,0.67,0.63,0.48,0.50,0.78,0.96,0.80,0.61,0.87,0.90,0.81,0.81,0.59,0.66,0.68,0.48,0.48,0.27,0.64,0.76,0.91,0.64
FUMONISINB1_Broad,-0.03,-0.05,0.06,-0.03,-0.23,-0.04,-0.01,0.01,0.00,0.04,-0.02,0.02,-0.08,-0.13,-0.09,-0.04,-0.07,-0.10,0.02,0.03,0.05,-0.01,0.00,-0.02,-0.04,-0.04,0.02,0.01,-0.13,-0.09,0.05,0.04,0.00
GMX1778_Broad,0.53,0.69,0.77,0.81,0.90,0.02,0.86,0.87,0.91,0.98,0.17,0.48,0.84,0.71,0.58,0.70,0.93,0.84,0.71,0.84,0.95,0.88,0.89,0.89,0.83,0.83,0.91,0.93,0.88,0.85,0.53,0.72,0.23
BAFILOMYCINA1_Broad,0.45,0.51,0.96,0.88,0.87,0.10,0.82,0.91,0.83,0.44,0.41,0.59,0.85,0.65,0.79,0.70,0.95,0.88,0.65,0.58,0.46,0.66,0.21,0.92,0.71,0.84,0.74,0.71,0.42,0.85,0.52,0.74,0.63
CAY10594_Broad,-0.01,-0.10,0.05,-0.03,-0.05,-0.08,0.01,-0.05,-0.06,-0.02,0.00,0.06,-0.08,-0.10,-0.06,-0.06,0.26,0.21,0.04,-0.05,0.02,-0.08,-0.07,-0.02,-0.05,-0.04,0.00,0.03,-0.15,-0.12,0.03,0.06,0.03
MLN2238_Broad,0.84,0.96,0.98,0.96,0.96,0.58,0.94,0.98,0.92,0.96,0.59,0.73,0.97,0.95,0.83,0.85,0.94,0.92,0.93,0.94,0.96,0.98,0.97,0.97,0.91,0.73,0.92,0.92,0.97,0.88,0.96,0.96,0.79
BELINOSTAT_Broad,0.26,0.34,0.47,0.60,0.54,0.20,0.50,0.48,0.59,0.58,0.28,0.32,0.47,0.39,0.23,0.40,0.14,-0.45,0.37,0.54,0.36,0.44,0.49,0.54,0.33,0.37,0.43,0.06,-0.30,0.24,0.25,0.47,0.57
GDC0879_Broad,-0.08,-0.13,0.02,-0.10,0.02,-0.07,0.11,-0.02,-0.09,0.05,-0.16,-0.06,-0.22,-0.18,-0.11,-0.07,0.02,-0.03,0.01,0.02,-0.10,-0.03,0.00,0.06,-0.06,-0.04,-0.03,-0.02,-0.18,-0.10,0.01,0.01,-0.09
CRIZOTINIB_Broad,0.19,0.09,0.30,0.22,0.12,0.03,0.36,0.33,0.27,0.10,0.16,0.27,0.30,0.28,0.08,0.28,0.32,0.30,0.28,0.36,0.32,0.26,0.26,0.35,0.15,0.16,0.28,0.25,0.13,0.30,0.13,0.10,0.15
NVPADW742_Broad,0.16,-0.04,0.17,0.32,0.18,0.00,0.33,0.25,0.32,0.20,0.14,0.36,0.29,0.13,0.37,0.42,0.15,-0.06,0.26,0.36,0.39,0.36,0.32,0.25,0.17,0.15,0.40,0.36,0.27,0.48,0.02,0.08,0.32
MOMELOTINIB_Broad,-0.14,-0.07,-0.07,-0.51,-0.40,-0.16,-0.43,-0.46,-0.09,-0.06,0.03,-0.08,-0.15,-0.13,-0.12,-0.09,0.13,0.03,-0.04,0.22,0.01,-0.11,-0.09,-0.03,-0.04,-0.10,-0.23,-0.15,-0.60,-0.31,0.05,0.10,-0.06
